epoch,train_loss,valid_loss
0,81.155042,105.511461
1,40.743536,86.300547
2,38.381853,82.179117
3,36.239147,79.228185
4,34.955233,77.698187
5,34.273370,81.875356
6,33.536006,72.209281
7,32.833681,74.086813
8,32.147905,77.348216
9,31.921548,73.950036
10,31.535914,80.387869
11,30.785875,69.692675
12,30.439323,69.770481
13,30.053111,75.030156
14,30.241526,71.411661
15,30.026228,71.613705
16,29.758905,67.521426
17,29.348652,68.847842
18,29.033382,73.256086
19,28.793060,75.076198
20,28.664234,71.369046
21,28.492503,65.017745
22,28.289563,70.680956
23,28.213397,68.587879
24,28.094696,75.921854
25,27.733991,78.179434
26,27.767403,63.203190
27,27.762084,59.610723
28,27.600357,73.356484
29,27.069115,72.150089
30,27.196448,66.644691
31,26.840444,65.193667
32,26.664720,63.646630
33,26.611030,64.541371
34,26.497752,64.518857
35,26.254648,62.524757
36,26.014918,70.432714
37,25.891387,71.282812
38,25.481579,62.708111
39,25.780644,73.576004
40,25.633967,62.540702
41,25.272294,67.157708
42,25.355107,66.284263
43,25.228780,66.830538
44,25.362289,67.754118
45,24.904507,65.462061
46,24.939324,62.773096
47,24.752309,62.161540
48,24.625642,68.210115
49,24.504066,61.667166
50,24.134932,66.874949
51,24.264436,72.129444
52,24.204726,61.002208
53,24.270521,72.537071
54,23.955864,59.570109
55,23.834322,61.312753
56,23.524463,64.295727
57,23.512541,67.107705
58,23.746044,64.378983
59,23.337426,66.764265
60,23.374365,62.606827
61,23.171163,62.439774
62,23.301559,65.917783
63,23.105910,66.084966
64,22.878194,68.150719
65,22.940032,62.358066
66,22.782927,62.480573
67,22.683950,65.185124
68,22.594293,64.630069
69,22.484222,66.374310
70,22.354499,65.774062
71,22.369232,59.511340
72,22.608928,62.398817
73,22.362112,58.959764
74,22.357823,59.848004
75,21.936231,66.130545
76,22.039032,67.525585
77,22.070086,60.240936
78,21.747455,59.434908
79,21.773191,62.256215
